law_id,law_name,dimension,strongest_segment,strongest_status,strongest_valid,strongest_edge,strongest_oos_edge,weakest_segment,weakest_status,weakest_valid,weakest_edge,weakest_oos_edge,edge_spread
LAW_0001A,First Resistance Attempt Against Bearish MTF,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,482,0.7385892116182573,0.785234899328859,BREAKOUT_AGAINST_HTF_DOWN,WEAKER,460,0.28695652173913044,0.19117647058823528,0.45163268987912686
LAW_0001A,First Resistance Attempt Against Bearish MTF,ENERGY,MEDIUM,STABLE,323,0.5541795665634675,0.49504950495049505,LOW,STABLE,249,0.5020080321285141,0.5789473684210527,0.05217153443495337
LAW_0001A,First Resistance Attempt Against Bearish MTF,HOUR_BRT,20,STRONGER,43,0.7441860465116279,0.8461538461538461,19,WEAKER,74,0.1891891891891892,0.16666666666666666,0.5549968573224386
LAW_0001A,First Resistance Attempt Against Bearish MTF,HTF_LOCATION,MIXED_LOCATION,STRONGER,482,0.7385892116182573,0.785234899328859,STRONG_DOWN_LOCATION,WEAKER,187,0.0213903743315508,-0.2,0.7171988372867065
LAW_0001A,First Resistance Attempt Against Bearish MTF,LEVEL_PROXIMITY,OTHER_LOCATION,STABLE,225,0.5422222222222223,0.38333333333333336,NEAR_RESISTANCE,STABLE,723,0.5089903181189488,0.5330396475770925,0.03323190410327348
LAW_0001A,First Resistance Attempt Against Bearish MTF,SESSION_BRT,PRE_LONDON,STRONGER,70,0.6714285714285714,0.4166666666666667,LONDON,STABLE,111,0.4594594594594595,0.35294117647058826,0.2119691119691119
LAW_0001A,First Resistance Attempt Against Bearish MTF,WEEKDAY,TUESDAY,STRONGER,184,0.6141304347826086,0.5510204081632653,SUNDAY,WEAKER,46,0.32608695652173914,0.26666666666666666,0.2880434782608695
LAW_0001B,First Support Attempt Against Bullish MTF,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,393,0.6412213740458015,0.7407407407407407,BREAKOUT_MIXED_HTF,STRONGER,393,0.6412213740458015,0.7407407407407407,0.0
LAW_0001B,First Support Attempt Against Bullish MTF,ENERGY,EXTREME,STRONGER,94,0.5212765957446809,0.6071428571428571,LOW,STABLE,219,0.3561643835616438,0.5873015873015873,0.16511221218303707
LAW_0001B,First Support Attempt Against Bullish MTF,HOUR_BRT,1,STRONGER,52,0.5192307692307693,0.5384615384615384,19,WEAKER,54,-0.05555555555555555,-0.3125,0.5747863247863249
LAW_0001B,First Support Attempt Against Bullish MTF,HTF_LOCATION,MIXED_LOCATION,STRONGER,393,0.6412213740458015,0.7407407407407407,STRONG_UP_LOCATION,WEAKER,247,0.024291497975708502,0.14285714285714285,0.616929876070093
LAW_0001B,First Support Attempt Against Bullish MTF,LEVEL_PROXIMITY,OTHER_LOCATION,STABLE,226,0.4778761061946903,0.5,NEAR_SUPPORT,STABLE,727,0.4195323246217332,0.48756218905472637,0.05834378157295711
LAW_0001B,First Support Attempt Against Bullish MTF,SESSION_BRT,NY_AFTERNOON,STRONGER,141,0.5673758865248227,0.7777777777777778,PRE_LONDON,WEAKER,85,0.21176470588235294,0.16666666666666666,0.35561118064246977
LAW_0001B,First Support Attempt Against Bullish MTF,WEEKDAY,THURSDAY,STABLE,163,0.50920245398773,0.625,MONDAY,STABLE,195,0.4,0.46808510638297873,0.10920245398772999
LAW_0002A,Resistance Breakout After External Failure Memory,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,388,0.7036082474226805,0.7704918032786885,BREAKOUT_AGAINST_HTF_DOWN,WEAKER,338,0.3047337278106509,0.18867924528301888,0.3988745196120296
LAW_0002A,Resistance Breakout After External Failure Memory,ENERGY,MEDIUM,STABLE,247,0.5789473684210527,0.4875,LOW,STABLE,195,0.49230769230769234,0.625,0.08663967611336032
LAW_0002A,Resistance Breakout After External Failure Memory,HOUR_BRT,19,WEAKER,60,0.13333333333333333,0.0625,19,WEAKER,60,0.13333333333333333,0.0625,0.0
LAW_0002A,Resistance Breakout After External Failure Memory,HTF_LOCATION,MIXED_LOCATION,STRONGER,388,0.7036082474226805,0.7704918032786885,STRONG_DOWN_LOCATION,WEAKER,141,0.05673758865248227,-0.16279069767441862,0.6468706587701982
LAW_0002A,Resistance Breakout After External Failure Memory,LEVEL_PROXIMITY,NEAR_RESISTANCE,STABLE,559,0.5277280858676208,0.554945054945055,OTHER_LOCATION,STABLE,173,0.4797687861271676,0.2916666666666667,0.047959299740453154
LAW_0002A,Resistance Breakout After External Failure Memory,SESSION_BRT,PRE_LONDON,STRONGER,52,0.6730769230769231,0.5294117647058824,LONDON,STABLE,85,0.4823529411764706,0.3333333333333333,0.19072398190045253
LAW_0002A,Resistance Breakout After External Failure Memory,WEEKDAY,TUESDAY,STRONGER,147,0.673469387755102,0.6,FRIDAY,STABLE,98,0.4489795918367347,0.3939393939393939,0.22448979591836732
LAW_0002B,Support Breakout After External Failure Memory,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,321,0.6230529595015576,0.7142857142857143,BREAKOUT_MIXED_HTF,STRONGER,321,0.6230529595015576,0.7142857142857143,0.0
